Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-10 00:00:00-04:00,57.87887039910978,59.017050799180595,57.68092548925158,58.6904411315918,1909100,0.0,0.0
2024-06-11 00:00:00-04:00,58.36383335204026,58.55187893380746,58.02732814880921,58.4133186340332,1620100,0.0,0.0
2024-06-12 00:00:00-04:00,59.076430326835116,59.175404667324685,58.52218912203371,58.937870025634766,2324800,0.0,0.0
2024-06-13 00:00:00-04:00,58.947768883020494,59.08632918312923,58.38362836087205,58.591468811035156,2195300,0.0,0.0
2024-06-14 00:00:00-04:00,58.402658257410195,58.531846753157936,58.07471910455521,58.23371887207031,2475800,0.24,0.0
2024-06-17 00:00:00-04:00,58.08465933171078,58.71072258136757,57.91571994459866,58.26353454589844,1742000,0.0,0.0
2024-06-18 00:00:00-04:00,58.21384355462099,58.88958968089411,57.96540619658492,58.621280670166016,1795300,0.0,0.0
2024-06-20 00:00:00-04:00,58.73059086821417,58.92934151601108,57.98527878211575,58.859779357910156,2418600,0.0,0.0
2024-06-21 00:00:00-04:00,58.829969273147334,59.95290723360526,58.39271708101148,59.87340545654297,3096100,0.0,0.0
2024-06-24 00:00:00-04:00,59.903217556202705,60.71809182809711,59.70447069250431,59.724342346191406,2084300,0.0,0.0
2024-06-25 00:00:00-04:00,59.70447329556265,59.7939071136141,59.30697196912831,59.5355339050293,1329800,0.0,0.0
2024-06-26 00:00:00-04:00,59.128093784360445,59.734281570871104,59.06846745113118,59.38646697998047,1420400,0.0,0.0
2024-06-27 00:00:00-04:00,59.35665642442676,60.19140614543368,59.09828322569165,59.8038444519043,1973100,0.0,0.0
2024-06-28 00:00:00-04:00,60.04234251006679,60.19140645026537,59.32684545333263,59.88334274291992,4045700,0.0,0.0
2024-07-01 00:00:00-04:00,60.00259520310803,60.19140624129772,59.088343702047474,59.108219146728516,2074000,0.0,0.0
2024-07-02 00:00:00-04:00,59.31690371396807,59.96284237725427,59.177779396547244,59.5852165222168,1842100,0.0,0.0
2024-07-03 00:00:00-04:00,59.77403110910622,60.22121533023477,59.70446895067052,59.76409149169922,1162100,0.0,0.0
2024-07-05 00:00:00-04:00,59.74421700934649,60.07215615369596,59.575281419241655,60.002593994140625,825800,0.0,0.0
2024-07-08 00:00:00-04:00,60.02247061391615,60.479594468761725,59.89328211898903,60.062217712402344,1097700,0.0,0.0
2024-07-09 00:00:00-04:00,60.32059570037531,60.64853106572007,60.08209415124442,60.429908752441406,1502500,0.0,0.0
2024-07-10 00:00:00-04:00,60.61871826050303,61.27459276545794,60.390156335078956,61.244781494140625,1631700,0.0,0.0
2024-07-11 00:00:00-04:00,61.821157903829196,62.31803267326847,61.612471410469574,61.811222076416016,2502900,0.0,0.0
2024-07-12 00:00:00-04:00,62.019905761627186,62.72546699247955,61.75159294337626,62.3080940246582,2121700,0.0,0.0
2024-07-15 00:00:00-04:00,62.40746577906271,62.81490290896147,62.20871512746135,62.60621643066406,2339700,0.0,0.0
2024-07-16 00:00:00-04:00,62.80496921761453,63.21240636136602,62.745342882850835,62.90434265136719,1829300,0.0,0.0
2024-07-17 00:00:00-04:00,62.55652928881889,63.20246416355107,62.47702751237924,63.09315490722656,2728900,0.0,0.0
2024-07-18 00:00:00-04:00,63.0434685445172,63.1130307080466,62.019907746138564,62.08946990966797,1895100,0.0,0.0
2024-07-19 00:00:00-04:00,62.5863452633515,62.62609615455888,61.821157666450716,62.11928176879883,1506200,0.0,0.0
2024-07-22 00:00:00-04:00,62.70559044988062,62.85465438769477,62.16896861362715,62.63602828979492,1833200,0.0,0.0
2024-07-23 00:00:00-04:00,62.983842335229966,63.05340449471281,62.44721671277374,62.73540496826172,2275100,0.0,0.0
2024-07-24 00:00:00-04:00,62.96396913227373,62.99378040429802,62.039781790985636,62.33790588378906,2988900,0.0,0.0
2024-07-25 00:00:00-04:00,64.59371603793736,67.34639875467998,64.31546739730857,66.83959197998047,7139200,0.0,0.0
